ags,51937628,1912,-9369,-4145,564,-1646,247
ags,51937629,1991,-9403,-4141,546,-1731,308
ags,51937630,1947,-9351,-4099,546,-1792,375
ags,51937631,1978,-9371,-4087,539,-1853,423
ags,51937632,1981,-9342,-4092,546,-1908,472
ags,51937633,2032,-9410,-4158,558,-1963,521
ags,51937634,2061,-9422,-4111,558,-2011,564
ags,51937635,2061,-9386,-4099,570,-2042,612
ags,51937636,2103,-9359,-4121,582,-2085,631
ags,51937637,2125,-9317,-4097,594,-2133,686
ags,51937638,2071,-9381,-4080,576,-2188,747
ags,51937639,2110,-9373,-4055,582,-2231,801
ags,51937640,2081,-9393,-4087,582,-2267,844
ags,51937641,2135,-9398,-4121,607,-2286,893
ags,51937642,2181,-9395,-4097,607,-2316,942
ags,51937643,2147,-9403,-4072,613,-2341,984
ags,51937644,2179,-9351,-4033,631,-2359,1003
ags,51937645,2159,-9337,-4101,619,-2408,1021
ags,51937646,2183,-9381,-4153,613,-2432,1064
ags,51937647,2235,-9454,-4099,631,-2450,1106
ags,51937648,2176,-9364,-4141,637,-2456,1143
ags,51937649,2096,-9339,-4126,643,-2469,1161
ags,51937650,2108,-9327,-4109,661,-2505,1198
ags,51937651,2149,-9298,-4287,661,-2542,1228
ags,51937652,2103,-9264,-4341,661,-2566,1259
ags,51937653,2105,-9256,-4228,668,-2572,1271
ags,51937654,2083,-9220,-4209,680,-2578,1289
ags,51937655,2069,-9227,-4282,680,-2603,1301
ags,51937656,2074,-9264,-4416,692,-2615,1326
ags,51937657,2076,-9188,-4302,692,-2633,1338
ags,51937658,2149,-9193,-4250,698,-2639,1350
ags,51937659,2118,-9205,-4319,692,-2670,1375
ags,51937660,2115,-9122,-4404,710,-2700,1387
ags,51937661,2091,-9090,-4448,741,-2694,1399
ags,51937662,2020,-9100,-4492,716,-2700,1411
ags,51937663,1976,-9059,-4453,716,-2725,1417
ags,51937664,2003,-9093,-4502,735,-2737,1429
ags,51937665,1956,-9112,-4499,735,-2743,1442
ags,51937666,1995,-9076,-4619,735,-2737,1460
ags,51937667,2015,-9029,-4590,759,-2761,1454
ags,51937668,2020,-9056,-4499,777,-2761,1460
ags,51937669,1978,-9007,-4504,765,-2822,1460
ags,51937670,1859,-9005,-4580,747,-3060,1442
ags,51937671,1842,-9002,-4643,747,-2963,1448
ags,51937672,1910,-9012,-4683,741,-2572,1448
ags,51937673,1854,-9029,-4661,735,-2548,1466
