ags,43270781,9605,-209,1257,-6,-29,61
ags,43270782,9639,-167,1269,-6,-17,79
ags,43270783,9651,-121,1311,6,-23,85
ags,43270784,9678,-155,1316,-6,-29,85
ags,43270785,9670,-172,1252,-6,-47,79
ags,43270786,9668,-116,1274,-6,-29,73
ags,43270787,9666,-84,1369,-12,-17,73
ags,43270788,9622,-136,1350,-18,-23,73
ags,43270789,9653,-55,1291,-6,-17,67
ags,43270790,9670,-82,1296,-6,-17,67
ags,43270791,9661,-148,1255,-12,-29,61
ags,43270792,9656,-177,1216,-30,-23,73
ags,43270793,9595,-153,1203,-24,-11,67
ags,43270794,9614,-138,1311,-30,-17,79
ags,43270795,9595,-141,1320,-18,-23,73
ags,43270796,9592,-126,1240,-18,-5,67
ags,43270797,9585,-209,1172,-12,1,67
ags,43270798,9578,-167,1240,-6,-11,79
ags,43270799,9590,-124,1267,0,1,67
ags,43270800,9607,-116,1277,-18,7,55
ags,43270801,9653,-121,1325,-6,14,49
ags,43270802,9661,-124,1335,6,14,67
ags,43270803,9629,-109,1364,0,7,73
ags,43270804,9663,-50,1338,-6,7,55
ags,43270805,9678,-72,1318,-12,-5,49
ags,43270806,9675,-138,1325,-18,-11,61
ags,43270807,9651,-175,1272,-12,-17,67
ags,43270808,9646,-104,1330,-6,-11,61
ags,43270809,9656,-87,1313,-18,1,67
ags,43270810,9639,-109,1362,-30,14,61
ags,43270811,9641,-160,1340,-36,7,61
ags,43270812,9629,-111,1223,-30,7,55
ags,43270813,9670,-82,1267,-12,-5,49
ags,43270814,9663,-80,1281,0,1,49
ags,43270815,9629,-128,1247,-6,1,43
ags,43270816,9597,-138,1294,-12,-11,55
ags,43270817,9607,-170,1228,-18,-5,61
ags,43270818,9573,-136,1230,-24,-5,61
ags,43270819,9619,-106,1379,-18,7,55
ags,43270820,9570,-72,1325,-18,1,49
ags,43270821,9578,-97,1355,-18,75,37
ags,43270822,9595,-119,1286,-6,-163,49
ags,43270823,9688,-128,1338,-12,56,49
ags,43270824,9673,-116,1311,-30,-47,43
ags,43270825,9670,-94,1194,-18,-5,43
ags,43270826,9700,-102,1247,0,56,43
ags,43270827,9649,-92,1299,-12,-102,43
ags,43270828,9666,-75,1333,-30,99,49
ags,43270829,9719,-89,1325,-24,-127,55
ags,43270830,9646,-136,1267,-12,75,55
ags,43270831,9663,-102,1350,-12,-60,43
ags,43270832,9653,-104,1369,-30,-29,55
ags,43270833,9690,-84,1308,-36,44,49
ags,43270834,9663,-119,1335,-36,-127,49
ags,43270835,9639,-128,1345,-36,81,43
ags,43270836,9612,-143,1233,-24,-139,43
ags,43270837,9592,-146,1296,-12,56,49
ags,43270838,9636,-133,1394,0,-66,43
ags,43270839,9653,-109,1306,-12,-29,43
ags,43270840,9631,-133,1291,-30,32,43
ags,43270841,9666,-124,1303,-30,-121,37
ags,43270842,9688,-97,1279,-18,93,37
ags,43270843,9666,-89,1306,-12,-133,49
ags,43270844,9673,-102,1369,-24,44,49
ags,43270845,9629,-92,1279,-24,-72,49
ags,43270846,9653,-106,1196,-30,-29,31
ags,43270847,9663,-99,1335,-36,44,37
ags,43270848,9644,-92,1330,-18,-127,31
ags,43270849,9695,-38,1296,-12,62,37
ags,43270850,9666,-89,1225,-24,-145,43
ags,43270851,9619,-155,1235,-30,44,43
ags,43270852,9653,-172,1294,-30,-78,37
ags,43270853,9651,-126,1289,-18,-47,37
ags,43270854,9685,-146,1286,-6,32,43
ags,43270855,9722,-172,1350,-6,-127,49
ags,43270856,9697,-133,1347,-18,75,43
ags,43270857,9661,-150,1233,-18,-145,37
ags,43270858,9641,-128,1352,-24,38,37
ags,43270859,9627,-124,1491,-36,-84,37
ags,43270860,9651,-155,1386,-36,-47,37
ags,43270861,9714,-170,1323,-18,26,37
ags,43270862,9688,-65,1294,-18,-139,31
ags,43270863,9673,-114,1279,-12,68,49
ags,43270864,9663,-126,1240,-24,-145,49
ags,43270865,9636,-99,1269,-30,44,37
ags,43270866,9717,-126,1374,-6,-78,25
ags,43270867,9771,-148,1345,0,-60,25
ags,43270868,9724,-136,1411,-12,14,43
ags,43270869,9683,-138,1301,-6,-139,37
ags,43270870,9653,-133,1267,-6,68,31
ags,43270871,9692,-106,1233,-12,-151,25
ags,43270872,9710,-111,1228,-30,38,31
ags,43270873,9705,-114,1274,-24,-84,49
ags,43270874,9712,-104,1291,-12,-47,37
ags,43270875,9705,-148,1262,-24,26,43
ags,43270876,9649,-167,1316,-12,-133,31
ags,43270877,9624,-72,1284,-18,68,19
ags,43270878,9595,-104,1252,-24,-139,19
ags,43270879,9556,-109,1294,-18,62,31
ags,43270880,9578,-155,1301,-30,-66,43
ags,43270881,9644,-141,1296,-30,-47,25
ags,43270882,9680,-180,1250,-30,32,19
ags,43270883,9727,-180,1264,-36,-127,13
ags,43270884,9692,-133,1267,-24,68,37
ags,43270885,9702,-160,1286,-24,-139,37
ags,43270886,9644,-150,1267,-24,44,43
ags,43270887,9744,-119,1303,-24,-66,37
ags,43270888,9805,-92,1223,-30,-47,43
ags,43270889,9714,-104,1257,-36,20,31
ags,43270890,9629,-99,1294,-36,-133,25
ags,43270891,9661,-180,1257,-24,81,25
ags,43270892,9634,-202,1194,-18,-151,31
ags,43270893,9688,-175,1286,-30,20,31
ags,43270894,9675,-177,1323,-43,-90,37
ags,43270895,9656,-192,1328,-30,-47,37
ags,43270896,9668,-167,1294,-24,20,31
ags,43270897,9678,-182,1328,-24,-151,31
ags,43270898,9685,-197,1372,-43,68,43
ags,43270899,9675,-165,1320,-49,-151,43
ags,43270900,9717,-128,1286,-36,20,37
ags,43270901,9717,-170,1218,-30,-90,37
ags,43270902,9673,-131,1181,-36,-47,55
ags,43270903,9678,-150,1181,-43,38,37
ags,43270904,9700,-177,1235,-49,-139,43
ags,43270905,9680,-111,1242,-55,56,49
ags,43270906,9729,-82,1240,-55,-163,61
ags,43270907,9741,-158,1220,-61,38,55
ags,43270908,9732,-106,1162,-49,-66,49
ags,43270909,9707,-172,1223,-49,-41,55
ags,43270910,9680,-155,1257,-49,38,55
ags,43270911,9666,-131,1247,-67,-133,49
ags,43270912,9656,-136,1291,-67,68,55
ags,43270913,9683,-92,1377,-61,-145,55
ags,43270914,9688,-111,1325,-55,32,67
ags,43270915,9670,-131,1206,-55,-84,61
ags,43270916,9712,-99,1269,-49,-66,61
ags,43270917,9678,-92,1313,-55,7,67
ags,43270918,9651,-99,1267,-67,-145,61
ags,43270919,9624,-92,1240,-73,81,55
ags,43270920,9595,-77,1203,-79,7,49
ags,43270921,9661,-43,1191,-73,-66,67
ags,43270922,9622,-28,1181,-73,-84,61
ags,43270923,9641,-77,1269,-73,-72,55
ags,43270924,9656,-141,1281,-85,-54,67
ags,43270925,9717,-77,1357,-91,-60,61
ags,43270926,9741,-58,1286,-91,-60,61
ags,43270927,9702,-45,1176,-79,-47,61
ags,43270928,9622,-58,1230,-73,-35,49
ags,43270929,9656,-114,1250,-67,-41,49
ags,43270930,9663,-70,1281,-67,-60,67
ags,43270931,9714,-109,1291,-67,-66,67
ags,43270932,9719,-80,1294,-73,-66,55
ags,43270933,9700,-94,1299,-67,-66,43
ags,43270934,9668,-82,1259,-55,-60,55
ags,43270935,9675,-77,1272,-61,-72,49
ags,43270936,9612,-77,1247,-67,-72,43
ags,43270937,9612,-109,1259,-55,-60,49
ags,43270938,9629,-102,1230,-61,-54,49
ags,43270939,9602,-116,1245,-67,-41,49
ags,43270940,9595,-111,1340,-67,-47,43
ags,43270941,9597,-143,1311,-67,-60,49
ags,43270942,9619,-133,1264,-79,-60,49
ags,43270943,9617,-146,1274,-67,-41,43
ags,43270944,9575,-133,1259,-61,-41,43
ags,43270945,9656,-99,1218,-67,-41,37
ags,43270946,9702,-143,1206,-73,-29,37
ags,43270947,9656,-160,1220,-67,-23,43
ags,43270948,9675,-163,1277,-73,-23,43
ags,43270949,9741,-133,1147,-73,-29,37
ags,43270950,9658,-119,1189,-61,-23,37
ags,43270951,9673,-148,1172,-55,-29,43
ags,43270952,9673,-148,1172,-55,-29,43
ags,43270953,9685,-141,1211,-67,-54,37
ags,43270954,9675,-60,1225,-73,-47,37
ags,43270955,9656,-63,1289,-67,-41,37
ags,43270956,9585,-136,1274,-49,-35,37
ags,43270957,9675,-197,1220,-61,-35,43
ags,43270958,9595,-236,1150,-61,-41,49
ags,43270959,9619,-187,1225,-61,-47,37
ags,43270960,9636,-199,1213,-67,-47,37
ags,43270961,9680,-194,1281,-67,-41,37
ags,43270962,9629,-177,1342,-61,-41,37
ags,43270963,9627,-180,1301,-67,-41,37
ags,43270964,9668,-133,1296,-67,-41,37
ags,43270965,9668,-187,1286,-67,-47,31
ags,43270966,9675,-153,1296,-61,-60,31
ags,43270967,9663,-146,1296,-55,-54,43
ags,43270968,9700,-167,1252,-55,-47,43
ags,43270969,9678,-153,1201,-55,-47,31
ags,43270970,9729,-172,1230,-61,-41,37
ags,43270971,9761,-155,1250,-61,-41,37
ags,43270972,9727,-167,1167,-61,-60,19
ags,43270973,9727,-194,1255,-49,-54,25
